Component,Variant,Variant Description,Styles Params,Other Render Params
Accordion,Default,"FAQ accordion with title, subtitle, intro text, list of items, optional 'Load More' behavior.",None,"initialVisibleItems:number – Number of items visible before 'Load More'; read from params.initialVisibleItems"
AccordionItem,Default,"Single accordion item with question and answer.",None,None
AdvantageCards,Default,"Grid of advantage cards with optional icon, title, rich text, and link.",None,None
AreasComponent,Default,"Interactive donut chart of areas; clicking sectors updates the right-side detail panel; supports default card when none selected.",None,None
ArticleHighlight,Default,"Article highlight block with rich title, image, and rich description content.",None,None
BoxesComponent,Default,"Grid of up to 6 boxes with background image, logo, title, description, and link.",None,None
Breadcrumb,Default,"Breadcrumb trail for current page.",None,None
BreadcrumbNavigation,Default,"Breadcrumb navigation with truncation rules.",None,None
ButtonGroupComponent,Default,"Group of CTA buttons/links using datasource items.",None,"Per-item ButtonBackgroundColor (text) and TextColor (text) fields adjust inline styles"
ButtonGroupComponent,News,"Tag-like smaller buttons for news context.",None,"Per-item ButtonBackgroundColor/TextColor fields"
ButtonGroupComponent,Popup,"Renders a button that opens the contact form modal.",None,"Opens contact form via UI modal; per-item ButtonBackgroundColor/TextColor fields"
CardComponent,Default,"Card with image, title, text, and link.",None,None
CardComponent,Horizontal,"Horizontal layout variant of card.",None,None
CategoryListing,Default,"Listing of categories with content.",None,None
CertificatesSlider,Default,"Carousel/slider of certificates.",None,None
CircularAnimationComponent,Default,"Component with animated circular visual and content.",None,None
ClientEndorsements,Default,"List of client endorsements or logos with text.",None,None
ContactFormBanner,Default,"Banner with content and CTA to open contact form.",None,None
ContactFormBanner,TwoColoum,"Two-column layout variant of the contact form banner.",None,None
DialogPopupLink,Default,"Renders a link or button that opens a dialog/popup.",None,None
DownloadComponent,Default,"Single downloadable asset with title/description/link.",None,None
Downloads,Default,"List of downloadable assets with metadata.",None,None
DownwardAnimation,Default,"Scroll indicator/animation prompting users to scroll.","styles (string classes)",None
EditingScriptsWrapper,Default,"Wrapper to inject editing scripts (authoring only).",None,None
EntityReference,Default,"Image + text teaser pairs with alternating image position.","title-h2 – when present, title renders as h2 (font-heading-h2)",None
EntityReference,YellowBack,"Split layout with image on left and yellow background on right (fixed container).",None,None
EntityReference,ImageResize,"Default variant with reduced image height (approx half of 375px).",None,None
EntityReference,TrimmedWidth,"Image takes 1/3 width, content takes 1/2 width.","title-h2 – when present, title renders as h2 (font-heading-h2)",None
EntityReferenceItem,Default,"Single entity reference item used inside EntityReference.",None,None
Footer,Default,"Primary site footer with multiple sections and links.",None,None
GlobalFooter,Default,"Alternative global footer implementation.",None,None
FooterSocialAccounts,Default,"Renders a list of social accounts with icons.",None,None
FormSubmissionDialog,Default,"Host component for site-wide form submission dialog.",None,None
Header,Default,"Site header with logo, navigation, utilities and search.",None,None
HeaderLogo,Default,"Header logo wrapper and link to home.",None,None
HeroBanner,Default,"Standard hero with image background, title, text and CTA.","Styles (color) – params.Styles background color (#hex)",None
HeroBanner,FullPage,"Hero sized to viewport with adjusted image object-fit.","Styles (color) – params.Styles background color (#hex)",None
HeroBanner,NewsStyle,"Hero styled for news pages (different height/overlay).","Styles (color) – params.Styles background color (#hex)",None
HeroBanner,ImageFit,"Image constrained in width; layout adapts for fit.","Styles (color) – params.Styles background color (#hex)",None
HorizontalCards,Default,"Two-column image + content cards, repeatable.","title-h3 – when present, renders title as h3 with smaller type",None
HorizontalTeaser,Default,"Two-column teaser with image and content; optional rich subheadline.","full-image-width – stretch image area; btn-brand-style – brand-colored CTA; title-h3 – title renders as h3",None
IFrameComponent,Default,"Embeds an external URL via iframe.",None,None
ImageBlock,Default,"Single image block wrapper with sizing helpers.",None,None
ImageComponent,Default,"Single image with optional caption and link.",None,None
ImageComponent,ImageWithSideMargins,"Image variant with additional side margins.",None,None
ImageGallery,Default,"Grid gallery of images with titles/captions.","styles (string classes); className (string classes)","FieldNames (string) – routes variants (Default/Scroll Gallery/Two Images); also supports 'Download Link' content mode"
ImageGallery,Scroll Gallery,"Scrolling gallery variant with horizontal scroll and progress bar.","styles (string classes); className (string classes)","FieldNames = 'Scroll Gallery'|'ScrollGallery'|'Scroll_Gallery'"
ImageGallery,Two Images,"If <=2 items, uses 2-column grid with larger images; else standard grid.","styles (string classes); className (string classes)","FieldNames = 'two images'|'TwoImages'|'two_images'"
IndividualProductTeaserGrid,Default,"Grid of individual product teasers.",None,None
IndividualProductsDisplay,Default,"Product detail module showing product images, variants, info.",None,None
IndustrySectorTeaser,Default,"Sector teaser component linking to sector pages.",None,None
IndustrySectorTeaserGrid,Default,"Grid of industry sector teasers.",None,None
JobBanner,Default,"Jobs page banner with title and metadata.",None,None
JobDescription,Default,"Job description content component with apply CTA.",None,None
LandingPageColumns,Default,"Landing page two/three-column content layout.",None,None
LanguageSelector,Default,"Language selection control and links.",None,None
LatestNewsFeed,Default,"Listing of latest news and press content.",None,None
LinkAnimated,Default,"Animated link with underline reveal effect.",None,None
LinkList,Default,"List of links with optional descriptions.",None,None
Logos,Default,"Logo wall / clients logos grid.",None,None
MarginBottom,Default,"Utility to add vertical space between components.","styles (string classes) – appended to wrapper",None
PersonContact,default,"Single-contact card with details; default layout.","Styles (color) – params.Styles background color (#hex)","variant (string) – 'default' or two-column"
PersonContact,two-column,"Two-column layout with image and contact information.","Styles (color) – params.Styles background color (#hex)","variant (string) – 'default' or two-column"
ProductDetail,Default,"Product details (specs, images, variants, downloads).",None,None
ProductTeaserGrid,Default,"Grid of product teasers with images and links.",None,None
QuoteHighlight,Default,"Highlighted quote with author details.",None,None
ScrollIndicator,Default,"Animated scroll indicator SVG.",None,None
SEO,Default,"SEO meta component for head tags.",None,None
SearchBanner,Default,"Search landing banner.",None,None
SearchBar,Default,"Search bar for all pages.",None,None
SearchBar,Jobs,"Variant for Jobs search bar routing.",None,None
SearchContainer,Default,"Search results container and filters wrapper.",None,None
SearchFacetsModal,Default,"Modal for selecting search facets.",None,None
SearchListing,Default,"Search results listing.",None,None
SearchListing,Jobs,"Jobs-specific search listing variant.",None,None
SearchRecommendations,Default,"Recommended content module for search pages.",None,None
SimpleHeading,Default,"Simple heading text block.",None,None
SitecoreForm,Default,"Sitecore forms wrapper.",None,None
SliderCarouselComponent,Default,"Carousel/slider component for multi-items.",None,None
SliderComponent,Default,"Image/content slider component.",None,None
SpotlightStories,Default,"Spotlight stories grid/list.",None,None
SpotlightStoriesMobile,Default,"Mobile-optimized spotlight stories layout.",None,None
StickyBackToTop,Default,"Floating back-to-top button.",None,None
StickyContactBar,Default,"Sticky floating contact quick-actions.","z-index-full – raise z-index above overlays",None
Testimonial,Default,"Testimonial with image on left, constrained width.",None,None
Testimonial,ImageLeft,"Image on left, text on right.",None,None
Testimonial,ImageLeftMaxWidth,"Image on left with max-width constraint (same as Default).",None,None
TextHighlight,Default,"Highlighted text with optional background.",None,None
TopHeader,Default,"Top header utility bar with quick links.",None,None
VideoPlayer,Default,"Video player with poster image and controls.",None,None
WorkwearCollectionsTeaserGrid,Default,"Grid of workwear collections teasers.",None,None
WysiwygBlock,Default,"Rich text block with optional background and anchor id.","Styles (color) – params.Styles background color (#hex)",None
WysiwygTable,Default,"Rich text table-styled content block.",None,None
