component_name,variant,description
Accordion,Default,"FAQ accordion with title, subtitle, intro text, list of items, optional 'Load More' behavior."
AccordionItem,Default,"Single accordion item with question and answer."
AdvantageCards,Default,"Grid of advantage cards with optional icon, title, rich text, and link."
AreasComponent,Default,"Interactive donut chart of areas; clicking sectors updates the right-side detail panel; supports default card when none selected."
ArticleHighlight,Default,"Article highlight block with rich title, image, and rich description content."
BoxesComponent,Default,"Grid of up to 6 boxes with background image, logo, title, description, and link."
Breadcrumb,Default,"Breadcrumb trail for current page."
BreadcrumbNavigation,Default,"Breadcrumb navigation with truncation rules."
ButtonGroupComponent,Default,"Group of CTA buttons/links using datasource items."
ButtonGroupComponent,News,"Tag-like smaller buttons for news context."
ButtonGroupComponent,Popup,"Renders a button that opens the contact form modal."
CardComponent,Default,"Card with image, title, text, and link."
CardComponent,Horizontal,"Horizontal layout variant of card."
CategoryListing,Default,"Listing of categories with content."
CertificatesSlider,Default,"Carousel/slider of certificates."
CircularAnimationComponent,Default,"Component with animated circular visual and content."
ClientEndorsements,Default,"List of client endorsements or logos with text."
Comparison,Default,"Comparison component."
ContactFormBanner,Default,"Banner with content and CTA to open contact form."
ContactFormBanner,TwoColoum,"Two-column layout variant of the contact form banner."
DialogPopupLink,Default,"Renders a link or button that opens a dialog/popup."
DownloadComponent,Default,"Single downloadable asset with title/description/link."
Downloads,Default,"List of downloadable assets with metadata."
DownwardAnimation,Default,"Scroll indicator/animation prompting users to scroll."
EditingScriptsWrapper,Default,"Wrapper to inject editing scripts (authoring only)."
EntityReference,Default,"Image + text teaser pairs with alternating image position."
EntityReference,Image Full View,"Wider/full image presentation (also used to enable full-image-height behavior where implemented)."
EntityReference,Image Resize,"Default variant with reduced image height (approx half of 375px)."
EntityReference,List Sparse,"List spacing is more sparse (adds extra vertical spacing for list items)."
EntityReference,Title Medium,"Renders section title with smaller heading styling (h3 / font-heading-h3)."
EntityReference,Trimmed Width,"Image takes 1/3 width, content takes 1/2 width."
EntityReference,Yellow Back,"Split layout with image on left and yellow background on right (fixed container)."
EntityReference,Title H2,"Renders section title as h2 with font-heading-h2."
EntityReference,More Li Space,"Adds more vertical space for list items in rich text."
EntityReference,Full Image Height,"Makes image area taller on mobile (full-height image behavior)."
EntityReferenceItem,Default,"Single entity reference item used inside EntityReference."
Footer,Default,"Primary site footer with multiple sections and links."
GlobalFooter,Default,"Alternative global footer implementation."
FooterSocialAccounts,Default,"Renders a list of social accounts with icons."
FormSubmissionDialog,Default,"Host component for site-wide form submission dialog."
Header,Default,"Site header with logo, navigation, utilities and search."
HeaderLogo,Default,"Header logo wrapper and link to home."
HeroBanner,Default,"Standard hero with image background, title, text and CTA."
HeroBanner,FullPage,"Hero sized to viewport with adjusted image object-fit."
HeroBanner,NewsStyle,"Hero styled for news pages (different height/overlay)."
HeroBanner,ImageFit,"Image constrained in width; layout adapts for fit."
HeroBanner,BrandBackground,"Uses brand accent background color instead of a custom style background."
HorizontalCards,Default,"Two-column image + content cards, repeatable."
HorizontalCards,Title Medium,"Renders section title with smaller heading styling (h3 / font-heading-h3)."
HorizontalTeaser,Default,"Two-column teaser with image and content; optional image caption."
HorizontalTeaser,Brand Button,"CTA button uses brand button styling."
HorizontalTeaser,Image Full View,"Image area uses a full-width/full-view layout."
HorizontalTeaser,Title Medium,"Renders section title with smaller heading styling (h3 / font-heading-h3)."
IFrameComponent,Default,"Embeds an external URL via iframe."
ImageBlock,Default,"Single image block wrapper with sizing helpers."
ImageComponent,Default,"Single image with optional caption and link."
ImageComponent,ImageWithSideMargins,"Image variant with additional side margins."
ImageGallery,Default,"Grid gallery of images with titles/captions."
ImageGallery,Scroll Gallery,"Scrolling gallery variant with horizontal scroll and progress bar."
ImageGallery,Two Images,"If <=2 items, uses 2-column grid with larger images; else standard grid."
IndividualProductTeaserGrid,Default,"Grid of individual product teasers."
IndividualProductsDisplay,Default,"Product detail module showing product images, variants, info."
IndustrySectorTeaser,Default,"Sector teaser component linking to sector pages."
IndustrySectorTeaserGrid,Default,"Grid of industry sector teasers."
JobBanner,Default,"Jobs page banner with title and metadata."
JobDescription,Default,"Job description content component with apply CTA."
LandingPageColumns,Default,"Landing page two/three-column content layout."
LandingPageColumns,Title Medium,"Renders section title with smaller heading styling (h3 / font-heading-h3)."
LanguageSelector,Default,"Language selection control and links."
LatestNewsFeed,Default,"Listing of latest news and press content."
LinkAnimated,Default,"Animated link with underline reveal effect."
LinkList,Default,"List of links with optional descriptions."
Logos,Default,"Logo wall / clients logos grid."
MarginBottom,Default,"Utility to add vertical space between components."
PersonContact,default,"Single-contact card with details; default layout."
PersonContact,two-column,"Two-column layout with image and contact information."
PersonContact,brand-background,"Uses brand accent background styling for the card section."
ProductDetail,Default,"Product details (specs, images, variants, downloads)."
ProductTeaserGrid,Default,"Grid of product teasers with images and links."
QuoteHighlight,Default,"Highlighted quote with author details."
ScrollIndicator,Default,"Animated scroll indicator SVG."
SEO,Default,"SEO meta component for head tags."
SearchBanner,Default,"Search landing banner."
SearchBar,Default,"Search bar for all pages."
SearchBar,Jobs,"Variant for Jobs search bar routing."
SearchContainer,Default,"Search results container and filters wrapper."
SearchFacetsModal,Default,"Modal for selecting search facets."
SearchListing,Default,"Search results listing."
SearchListing,Jobs,"Jobs-specific search listing variant."
SearchRecommendations,Default,"Recommended content module for search pages."
SimpleHeading,Default,"Simple heading text block."
SitecoreForm,Default,"Sitecore forms wrapper."
SliderCarouselComponent,Default,"Carousel/slider component for multi-items."
SliderComponent,Default,"Image/content slider component."
SpotlightStories,Default,"Spotlight stories grid/list."
SpotlightStoriesMobile,Default,"Mobile-optimized spotlight stories layout."
StickyBackToTop,Default,"Floating back-to-top button."
StickyContactBar,Default,"Sticky floating contact quick-actions."
StickyContactBar,priority visible,"Higher priority visibility (increases z-index to sit above other overlays)."
Testimonial,Default,"Testimonial with image on left, constrained width."
Testimonial,ImageLeft,"Image on left, text on right."
Testimonial,ImageLeftMaxWidth,"Image on left with max-width constraint (same as Default)."
TextHighlight,Default,"Highlighted text with optional background."
TopHeader,Default,"Top header utility bar with quick links."
VideoPlayer,Default,"Video player with poster image and controls."
WorkwearCollectionsTeaserGrid,Default,"Grid of workwear collections teasers."
WysiwygBlock,Default,"Rich text block with optional background and anchor id."
WysiwygBlock,Brand Background,"Uses brand accent background color behind the rich text."
WysiwygTable,Default,"Rich text table-styled content block."
